Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
173,Thomas Novak,26,NSH,C,52,13,21,34,-8,6,3.0,7,6,0,1,17,4,0,81,16.0,747,14:22,18,5,170,214,44.3,novakth01
174,Logan OConnor,27,COL,RW,57,13,12,25,13,34,2.6,10,0,3,4,12,0,0,85,15.3,852,14:57,38,60,29,35,45.3,oconnlo01
175,David Perron,35,DET,LW,56,13,19,32,-11,41,2.6,7,6,0,3,12,7,0,108,12.0,842,15:02,18,69,11,13,45.8,perroda01
176,Brayden Schenn,32,STL,C,62,13,18,31,-19,39,2.0,10,2,1,3,11,7,0,118,11.0,1084,17:29,39,135,367,398,48.0,schenbr01
177,Juraj Slafkovsky,19,MTL,LW,62,13,18,31,-18,39,1.9,8,5,0,1,13,5,0,104,12.5,1086,17:31,54,109,9,10,47.4,slafkju01
178,Andrei Svechnikov,23,CAR,RW,40,13,24,37,7,34,4.0,8,5,0,6,14,10,0,92,14.1,686,17:09,17,110,2,3,40.0,svechan01
179,Tom Wilson,29,WSH,RW,59,13,13,26,-20,110,1.4,8,4,1,2,11,2,0,138,9.4,1081,18:19,57,185,18,34,34.6,wilsoto01
180,Tyler Bertuzzi,28,TOR,LW,61,12,17,29,-2,28,2.2,7,5,0,1,16,1,0,121,9.9,964,15:48,38,70,4,9,30.8,bertuty01
181,Evgenii Dadonov,34,DAL,RW,50,12,11,23,-7,6,1.9,11,1,0,3,10,1,0,66,18.2,658,13:09,19,34,0,4,0.0,dadonev01
182,Jonathan Drouin,28,COL,LW,62,12,26,38,-1,26,2.8,8,4,0,0,15,11,0,93,12.9,1088,17:33,24,35,24,27,47.1,drouijo01
183,Lars Eller,34,PIT,C,60,12,9,21,-1,32,1.7,9,2,1,0,8,1,0,120,10.0,934,15:34,37,47,359,302,54.3,ellerla01
184,Adam Fantilli,19,CBJ,C,49,12,15,27,-21,16,1.7,11,1,0,1,13,2,0,115,10.4,770,15:43,25,63,171,221,43.6,fantiad01
185,Conor Garland,27,VAN,RW,64,12,17,29,12,17,2.7,12,0,0,1,16,1,0,142,8.5,900,14:03,24,37,2,5,28.6,garlaco01
186,Erik Haula,32,NJD,LW,56,12,17,29,0,40,2.6,10,1,1,2,14,2,1,109,11.0,910,16:15,27,73,327,260,55.7,haulaer01
187,Quinn Hughes,24,VAN,D,64,12,61,73,33,28,11.2,11,1,0,2,35,26,0,153,7.8,1588,24:49,41,22,0,0,,hughequ01
188,Tyler Johnson,33,CHI,C,48,12,9,21,-22,22,1.6,7,5,0,1,3,6,0,81,14.8,746,15:33,24,24,114,131,46.5,johnsty01
189,Andrew Mangiapane,27,CGY,LW,60,12,22,34,9,43,3.2,10,2,0,0,22,0,0,104,11.5,959,15:59,25,70,3,4,42.9,mangian01
190,Connor McMichael,23,WSH,C,58,12,12,24,-13,30,1.6,10,1,1,2,8,3,1,102,11.8,898,15:29,30,30,230,315,42.2,mcmicco01
191,Kyle Okposo,35,BUF,RW,60,12,10,22,2,32,2.2,9,2,1,0,8,2,0,104,11.5,815,13:35,34,60,127,139,47.7,okposky01
192,Michael Rasmussen,24,DET,C,62,12,14,26,11,35,2.5,11,0,1,3,11,0,3,85,14.1,942,15:12,63,102,50,58,46.3,rasmumi01
193,Pius Suter,27,VAN,F,50,12,12,24,15,12,2.5,10,2,0,2,10,2,0,80,15.0,799,15:59,14,35,160,174,47.9,suterpi01
194,Jimmy Vesey,30,NYR,LW,60,12,7,19,-2,11,1.7,12,0,0,4,7,0,0,94,12.8,746,12:26,23,66,8,9,47.1,veseyji02
195,Connor Zary,22,CGY,C,50,12,17,29,17,16,3.3,11,1,0,2,14,3,0,66,18.2,767,15:20,22,22,8,16,33.3,zaryco01
196,Michael Amadio,27,VEG,C,55,11,13,24,3,14,2.2,8,3,0,1,11,2,0,89,12.4,752,13:40,30,38,65,63,50.8,amadimi01
197,Joel Armia,30,MTL,RW,46,11,5,16,1,22,1.6,9,0,2,2,5,0,0,94,11.7,687,14:56,26,28,5,9,35.7,armiajo01
198,Sean Couturier,31,PHI,C,59,11,24,35,-5,18,2.7,8,3,0,3,19,4,1,168,6.5,1118,18:57,31,36,608,530,53.4,coutuse01
199,William Cuylle,21,NYR,LW,62,11,8,19,3,43,1.9,10,1,0,2,7,1,0,84,13.1,690,11:08,21,203,2,8,20.0,cuyllwi01
200,Vince Dunn,27,SEA,D,57,11,34,45,8,58,7.6,7,4,0,0,21,12,1,118,9.3,1326,23:15,60,39,0,0,,dunnvi02
201,Luke Evangelista,21,NSH,RW,61,11,17,28,-4,18,2.2,10,1,0,0,13,4,0,115,9.6,833,13:39,21,25,1,3,25.0,evanglu01
202,Noah Hanifin,27,CGY,D,61,11,24,35,13,22,6.5,8,3,0,1,18,5,1,123,8.9,1450,23:46,89,46,0,0,,hanifno01
203,Kevin Hayes,31,STL,RW,62,11,12,23,-7,10,1.8,11,0,0,2,8,4,0,113,9.7,906,14:36,13,33,382,290,56.8,hayeske01
204,Danton Heinen,28,BOS,C,56,11,13,24,8,22,2.3,9,1,1,3,13,0,0,92,12.0,798,14:15,39,63,12,14,46.2,heineda01
205,Matthew Knies,21,TOR,LW,60,11,15,26,6,31,2.3,11,0,0,1,13,2,0,86,12.8,855,14:15,26,129,0,1,0.0,kniesma01
206,Philipp Kurashev,24,CHI,C,56,11,24,35,-37,17,1.9,7,4,0,2,17,7,0,101,10.9,1060,18:56,36,18,114,136,45.6,kurasph01
207,Sam Lafferty,28,VAN,C,61,11,10,21,9,30,2.0,10,0,1,3,10,0,0,60,18.3,728,11:56,28,125,118,162,42.1,laffesa01
208,Eetu Luostarinen,25,FLA,C,63,11,7,18,-1,14,1.3,9,2,0,2,7,0,0,83,13.3,1000,15:53,42,93,81,73,52.6,luostee01
209,Matias Maccelli,23,ARI,LW,62,11,33,44,-6,6,3.5,10,1,0,1,24,8,1,113,9.7,1032,16:39,18,17,2,6,25.0,maccema01
210,Nicolas Roy,26,VEG,C,53,11,23,34,6,23,3.2,10,1,0,2,17,6,0,89,12.4,831,15:41,26,54,279,310,47.4,royni01
211,Jaden Schwartz,31,SEA,C,46,11,12,23,-12,18,1.7,6,5,0,0,9,3,0,97,11.3,764,16:37,20,37,62,52,54.4,schwaja01
212,Cole Sillinger,20,CBJ,C,57,11,13,24,-2,38,1.8,10,1,0,1,13,0,0,106,10.4,870,15:16,53,94,281,337,45.5,sillico01
213,Reilly Smith,32,PIT,RW,54,11,18,29,0,8,2.5,10,1,0,2,11,7,0,108,10.2,874,16:11,18,40,3,7,30.0,smithre01
214,Devon Toews,29,COL,D,64,11,26,37,20,16,6.6,11,0,0,2,19,5,2,122,9.0,1517,23:42,96,56,0,0,,toewsde01
215,Alexey Toropchenko,24,STL,RW,62,11,4,15,-5,28,1.3,9,0,2,1,4,0,0,81,13.6,764,12:20,35,111,0,2,0.0,toropal01
216,James van Riemsdyk,34,BOS,LW,60,11,27,38,11,16,3.7,5,6,0,3,21,6,0,129,8.5,826,13:46,21,29,9,11,45.0,vanrija01
217,Joe Veleno,24,DET,C,60,11,15,26,-13,16,1.6,8,3,0,1,12,2,1,66,16.7,873,14:33,28,70,235,252,48.3,velenjo01
218,Jake Walman,27,DET,D,56,11,9,20,5,44,4.1,10,1,0,3,5,3,1,96,11.5,1111,19:51,140,34,0,0,,walmaja01
219,Mats Zuccarello,36,MIN,LW,52,11,39,50,-6,24,4.0,6,5,0,1,16,23,0,128,8.6,962,18:30,40,18,21,33,38.9,zuccama01
220,Mason Appleton,28,WPG,C,61,10,17,27,13,24,2.4,9,0,1,2,16,0,1,89,11.2,980,16:04,34,82,4,5,44.4,applema01
221,Morgan Barron,25,WPG,C,60,10,4,14,8,10,1.5,10,0,0,3,3,1,0,74,13.5,638,10:38,38,78,18,31,36.7,barromo01
222,Jamie Benn,34,DAL,LW,64,10,30,40,2,37,3.1,6,3,1,0,18,11,1,117,8.5,959,14:59,36,83,348,211,62.3,bennja01
223,Logan Cooley,19,ARI,C,62,10,19,29,-11,18,1.9,8,2,0,1,11,8,0,106,9.4,975,15:44,24,41,194,285,40.5,coolelo01
224,Andrew Copp,29,DET,C,61,10,17,27,4,18,2.0,8,1,1,2,14,1,2,96,10.4,1001,16:25,38,24,389,347,52.9,coppan01
225,Justin Danforth,30,CBJ,RW,62,10,10,20,-15,20,0.8,10,0,0,1,10,0,0,77,13.0,888,14:19,44,103,135,141,48.9,danfoju01
226,William Eklund,21,SJS,LW,59,10,18,28,-33,30,1.0,5,5,0,4,13,4,1,96,10.4,1095,18:34,56,27,57,104,35.4,eklunwi01
227,Adam Fox,25,NYR,D,52,10,39,49,14,22,8.0,6,4,0,2,18,20,1,87,11.5,1208,23:14,76,33,0,0,,foxad01
228,Brendan Gallagher,31,MTL,RW,57,10,9,19,-22,51,0.7,9,1,0,1,6,3,0,118,8.5,796,13:58,26,47,11,15,42.3,gallabr01
229,Johnny Gaudreau,30,CBJ,LW,62,10,35,45,-19,10,2.6,9,1,0,1,23,12,0,121,8.3,1182,19:04,16,2,0,1,0.0,gaudrjo01
230,Victor Hedman,33,TBL,D,61,10,50,60,5,56,8.7,6,4,0,1,28,22,0,125,8.0,1514,24:49,81,50,0,0,,hedmavi01
231,Calle Järnkrok,32,TOR,C,49,10,10,20,13,16,2.0,9,0,1,3,8,1,1,89,11.2,754,15:23,13,54,64,66,49.2,jarnkca01
232,Mathieu Joseph,26,OTT,RW,50,10,20,30,7,39,2.6,10,0,0,3,19,0,1,92,10.9,826,16:31,33,75,22,37,37.3,josepma01
233,Alexander Kerfoot,29,ARI,C,62,10,25,35,-10,18,2.3,6,2,2,3,17,7,1,81,12.3,1073,17:18,55,46,271,304,47.1,kerfoal01
234,Alex Killorn,34,ANA,C,43,10,15,25,-12,36,1.7,7,3,0,2,13,2,0,99,10.1,801,18:38,17,51,9,18,33.3,killoal01
235,Jesperi Kotkaniemi,23,CAR,C,61,10,11,21,-8,36,1.5,9,1,0,0,9,1,1,110,9.1,821,13:28,28,47,280,269,51.0,kotkaje01
236,Scott Laughton,29,PHI,C,63,10,22,32,7,50,3.0,7,1,2,1,15,2,5,132,7.6,977,15:31,39,117,360,374,49.0,laughsc01
237,Artturi Lehkonen,28,COL,LW,29,10,11,21,6,10,2.2,6,4,0,1,6,5,0,68,14.7,545,18:47,10,35,6,20,23.1,lehkoar01
238,Jordan Martinook,31,CAR,LW,61,10,13,23,0,26,1.8,9,0,1,1,13,0,0,108,9.3,907,14:52,25,43,34,24,58.6,martijo01
239,Michael McLeod,25,NJD,C,45,10,9,19,6,10,2.0,10,0,0,2,9,0,0,73,13.7,681,15:09,22,101,424,228,65.0,mcleomi01
240,Ryan McLeod,24,EDM,C,59,10,12,22,12,6,2.0,10,0,0,3,10,1,1,80,12.5,844,14:18,21,52,266,269,49.7,mcleory01
241,Ilya Mikheyev,29,VAN,F,60,10,16,26,-2,4,1.8,10,0,0,1,16,0,0,115,8.7,861,14:21,10,31,7,17,29.2,mikheil01
242,T.J. Oshie,37,WSH,C,38,10,8,18,-9,38,1.4,4,6,0,3,5,3,0,74,13.5,627,16:30,39,59,10,28,26.3,oshietj01
243,Evan Rodrigues,30,FLA,C,63,10,26,36,23,24,3.8,7,3,0,1,19,7,0,148,6.8,984,15:38,23,74,27,21,56.3,rodriev01
244,Ryan Strome,30,ANA,C,59,10,24,34,-14,71,2.3,8,2,0,0,13,11,0,101,9.9,936,15:51,18,47,126,160,44.1,stromry01
245,Yakov Trenin,27,NSH,C,60,10,4,14,12,38,1.2,10,0,0,2,3,0,1,94,10.6,904,15:04,26,171,22,28,44.0,treniya01
246,Filip Zadina,24,SJS,RW,56,10,10,20,-29,12,0.9,9,1,0,2,9,1,0,104,9.6,739,13:12,24,43,15,50,23.1,zadinfi01
247,Bobby Brink,22,PHI,RW,42,9,11,20,7,6,2.3,7,2,0,1,9,2,0,62,14.5,594,14:08,17,21,3,3,50.0,brinkbo01
248,Brent Burns,38,CAR,D,61,9,23,32,15,14,6.6,4,4,1,0,11,12,0,142,6.3,1331,21:49,62,28,0,0,,burnsbr01
249,Leo Carlsson,19,ANA,C,40,9,14,23,-8,12,1.6,6,3,0,0,10,4,0,79,11.4,727,18:10,16,25,125,244,33.9,carlsle01
250,Jakob Chychrun,25,OTT,D,60,9,22,31,-15,52,3.4,5,4,0,0,14,8,0,148,6.1,1355,22:35,109,51,0,0,,chychja01
251,Connor Dewar,24,MIN,C,56,9,4,13,-6,20,0.8,8,0,1,0,4,0,0,54,16.7,628,11:13,25,89,178,200,47.1,dewarco01
252,Oliver Ekman-Larsson,32,FLA,D,63,9,18,27,4,62,5.1,8,1,0,3,8,10,0,96,9.4,1159,18:24,57,72,0,0,,ekmanol01
253,Marcus Foligno,32,MIN,LW,47,9,11,20,12,52,2.1,9,0,0,3,10,0,1,50,18.0,686,14:35,33,163,5,11,31.3,foligma01
254,Gustav Forsling,27,FLA,D,62,9,22,31,43,39,8.5,8,1,0,1,21,1,0,127,7.1,1350,21:47,87,80,0,0,,forslgu02
255,Morgan Frost,24,PHI,C,52,9,22,31,4,14,2.9,7,2,0,1,15,7,0,100,9.0,817,15:43,47,42,280,310,47.5,frostmo01
256,Luke Glendening,34,TBL,C,63,9,1,10,2,31,0.8,8,0,1,1,1,0,0,46,19.6,732,11:37,45,88,410,327,55.6,glendlu01
257,Shayne Gostisbehere,30,DET,D,61,9,31,40,-15,16,4.4,7,2,0,2,10,21,0,109,8.3,1174,19:15,54,25,0,0,,gostish01
258,Mikael Granlund,31,SJS,C,48,9,29,38,-7,24,3.0,8,1,0,1,14,14,1,95,9.5,997,20:47,41,51,347,367,48.6,granlmi01
259,Jordan Greenway,26,BUF,LW,51,9,12,21,5,39,1.8,8,1,0,0,10,2,0,76,11.8,867,17:00,51,98,14,33,29.8,greenjo02
260,Ridly Greig,21,OTT,C,50,9,12,21,17,43,2.2,6,2,1,1,12,0,0,67,13.4,726,14:31,33,86,136,184,42.5,greigri01
261,Mike Hoffman,34,SJS,C,59,9,12,21,-22,20,1.0,6,3,0,1,9,3,0,67,13.4,825,13:59,24,28,12,20,37.5,hoffmmi02
262,Jonathan Huberdeau,30,CGY,LW,60,9,29,38,-17,35,2.2,7,2,0,2,20,9,0,103,8.7,1039,17:19,31,48,9,10,47.4,huberjo01
263,Marcus Johansson,33,MIN,C,61,9,18,27,-13,16,1.4,8,1,0,0,14,4,0,89,10.1,969,15:53,24,33,6,26,18.8,johanma03
264,Dominik Kubalík,28,OTT,LW,56,9,4,13,-23,15,0.0,7,2,0,2,4,0,0,68,13.2,700,12:30,15,39,14,18,43.8,kubaldo01
265,Sean Kuraly,31,CBJ,C,54,9,7,16,-3,34,1.1,9,0,0,0,6,0,1,82,11.0,738,13:40,32,137,230,252,47.7,kuralse01
266,Alex Laferriere,22,LAK,RW,60,9,9,18,-12,38,1.0,9,0,0,2,6,3,0,118,7.6,800,13:20,18,66,5,5,50.0,laferal01
267,Adam Lowry,30,WPG,LW,61,9,20,29,15,55,2.6,8,0,1,1,18,1,1,93,9.7,989,16:12,54,130,515,522,49.7,lowryad01
268,Anton Lundell,22,FLA,C,59,9,18,27,16,34,2.7,9,0,0,1,13,4,1,122,7.4,909,15:24,29,36,352,313,52.9,lundean01
269,Charlie McAvoy,26,BOS,D,56,9,33,42,7,71,6.5,8,1,0,3,21,12,0,108,8.3,1402,25:02,113,122,0,0,,mcavoch01
270,Michael McCarron,28,NSH,RW,51,9,9,18,4,84,1.7,9,0,0,1,9,0,0,61,14.8,626,12:17,36,103,220,220,50.0,mccarmi01
271,Bobby McMann,27,TOR,F,38,9,8,17,5,32,2.0,8,1,0,0,8,0,0,77,11.7,395,10:23,17,83,2,1,66.7,mcmanbo02
272,Alex Newhook,23,MTL,C,35,9,10,19,-6,8,1.6,8,1,0,1,6,4,0,55,16.4,590,16:51,15,29,102,134,43.2,newhoal01
273,Drew OConnor,25,PIT,F,60,9,12,21,7,12,1.7,9,0,0,1,11,0,1,110,8.2,905,15:05,35,40,19,20,48.7,oconndr01
274,Ondrej Palát,32,NJD,LW,51,9,15,24,-1,33,1.9,8,1,0,0,11,4,0,86,10.5,800,15:41,39,72,3,12,20.0,palaton01
275,Colton Parayko,30,STL,D,62,9,12,21,8,16,5.2,8,0,1,4,10,1,1,121,7.4,1483,23:55,165,83,0,0,,parayco01
276,Rickard Rakell,30,PIT,RW,48,9,18,27,-2,16,2.1,5,4,0,1,16,2,0,119,7.6,828,17:16,29,79,3,8,27.3,rakelri01
277,Kevin Stenlund,27,FLA,C,62,9,4,13,-8,54,0.7,9,0,0,3,4,0,0,62,14.5,781,12:35,33,61,351,301,53.8,stenlke01
278,Alexandre Texier,24,CBJ,C,58,9,13,22,-5,22,1.4,7,0,2,1,12,1,0,71,12.7,820,14:08,28,38,5,11,31.3,texieal01
279,Alexander Wennberg,29,SEA,C,60,9,16,25,1,14,1.7,6,2,1,4,14,2,0,80,11.3,1129,18:49,65,37,470,536,46.7,wennbal01
280,Blake Wheeler,37,NYR,RW,54,9,12,21,2,23,1.9,8,1,0,1,12,0,0,83,10.8,687,12:43,31,31,38,24,61.3,wheelbl01
281,Miles Wood,28,COL,LW,59,9,12,21,-3,67,1.3,8,0,1,1,12,0,0,121,7.4,813,13:47,29,87,12,24,33.3,woodmi01
282,Cameron York,23,PHI,D,63,9,13,22,-9,34,4.1,9,0,0,1,6,5,2,91,9.9,1373,21:48,124,56,0,0,,yorkca01
283,Jason Zucker,32,ARI,LW,51,9,16,25,-5,58,2.0,5,4,0,0,11,5,0,104,8.7,716,14:02,14,74,11,18,37.9,zuckeja01
284,Josh Anderson,29,MTL,RW,58,8,10,18,-15,62,0.5,8,0,0,0,8,2,0,112,7.1,931,16:03,30,129,14,13,51.9,anderjo05
285,Matthew Beniers,21,SEA,C,57,8,18,26,-4,16,1.7,6,2,0,1,13,5,0,99,8.1,1008,17:41,32,37,372,429,46.4,beniema01
286,Bowen Byram,22,COL,D,55,8,12,20,1,40,3.2,8,0,0,0,12,0,0,63,12.7,1092,19:51,75,60,0,0,,byrambo01
287,Sam Carrick,31,ANA,C,61,8,3,11,-11,90,0.2,5,1,2,0,3,0,0,77,10.4,770,12:37,27,137,320,308,51.0,carrisa01
288,Jeff Carter,39,PIT,C,54,8,2,10,-8,10,0.4,4,3,1,4,2,0,0,67,11.9,666,12:20,24,59,166,97,63.1,carteje01
289,Nic Dowd,33,WSH,C,45,8,8,16,8,30,1.6,8,0,0,2,8,0,0,45,17.8,696,15:27,57,58,352,368,48.9,dowdni01
290,Jack Drury,23,CAR,C,61,8,18,26,6,26,2.4,6,2,0,0,13,5,0,84,9.5,740,12:08,26,24,297,248,54.5,druryja01
291,Sean Durzi,25,ARI,D,56,8,24,32,-1,51,4.9,5,3,0,1,13,11,0,102,7.8,1265,22:35,123,33,0,0,,durzise01
292,Michael Eyssimont,27,TBL,C,62,8,8,16,6,84,1.4,6,2,0,2,7,1,0,117,6.8,731,11:47,25,91,4,3,57.1,eyssimi01
293,Yanni Gourde,32,SEA,C,60,8,16,24,-4,56,1.4,8,0,0,0,14,1,1,124,6.5,1060,17:40,38,110,386,423,47.7,gourdya01
294,Carl Grundström,26,LAK,RW,50,8,4,12,-2,12,1.1,6,1,1,1,4,0,0,95,8.4,547,10:56,16,115,2,8,20.0,grundca01
295,Dylan Guenther,20,ARI,RW,25,8,9,17,0,10,1.8,3,5,0,1,6,3,0,56,14.3,392,15:40,9,18,3,5,37.5,guentdy01
296,Luke Hughes,20,NJD,D,62,8,24,32,-21,22,3.4,4,4,0,1,11,13,0,92,8.7,1322,21:20,37,19,0,0,,hughelu01
297,Alex Iafallo,30,WPG,C,61,8,12,20,4,4,1.2,6,2,0,1,8,3,1,97,8.2,974,15:58,53,28,7,16,30.4,iafalal01
298,Erik Karlsson,33,PIT,D,60,8,35,43,7,32,7.0,6,2,0,3,22,13,0,140,5.7,1464,24:24,68,30,0,0,,karlser01
299,Tye Kartye,22,SEA,F,57,8,7,15,-4,35,1.1,8,0,0,0,7,0,0,83,9.6,669,11:45,18,145,32,40,44.4,kartyty01
300,Luke Kunin,26,SJS,C,56,8,4,12,-22,53,0.0,6,2,0,1,3,1,0,79,10.1,857,15:18,44,118,124,169,42.3,kuninlu01
301,Brett Leason,24,ANA,RW,48,8,8,16,-6,12,1.1,7,0,1,0,8,0,0,67,11.9,626,13:03,44,52,11,17,39.3,leasobr01
302,Mike Matheson,29,MTL,D,62,8,36,44,-25,52,4.4,3,5,0,0,19,17,0,151,5.3,1579,25:28,127,53,0,0,,mathemi01
303,Sonny Milano,27,WSH,LW,29,8,5,13,2,8,1.6,6,2,0,2,5,0,0,25,32.0,358,12:20,10,11,0,0,,milanso01
304,Josh Morrissey,28,WPG,D,61,8,43,51,22,34,8.5,7,1,0,1,32,11,0,151,5.3,1484,24:20,84,67,0,0,,morrijo04
305,Vladislav Namestnikov,31,WPG,C,58,8,21,29,17,19,2.7,4,3,1,0,20,1,0,77,10.4,871,15:01,38,68,165,286,36.6,namesvl01
306,Jean-Gabriel Pageau,31,NYI,C,61,8,17,25,-7,8,1.3,7,0,1,1,11,1,5,74,10.8,972,15:56,57,154,522,439,54.3,pageaje01
307,Juuso Pärssinen,22,NSH,C,44,8,4,12,-6,12,0.6,6,2,0,0,3,1,0,54,14.8,642,14:36,15,62,78,130,37.5,parssju01
308,Corey Perry,38,TOT,RW,32,8,7,15,-5,35,1.4,7,1,0,2,6,1,0,45,17.8,439,13:43,10,28,0,1,0.0,perryco01
309,Nicholas Robertson,22,TOR,LW,41,8,11,19,2,2,1.9,7,1,0,1,9,2,0,64,12.5,466,11:22,19,25,0,1,0.0,roberni01
310,Travis Sanheim,27,PHI,D,62,8,29,37,-15,40,5.2,7,0,1,3,22,5,2,110,7.3,1470,23:42,113,71,0,0,,sanhetr01
311,Brady Skjei,29,CAR,D,61,8,25,33,8,32,6.0,6,1,1,2,16,7,2,135,5.9,1297,21:16,67,51,0,0,,skjeibr01
312,Cole Smith,28,NSH,F,62,8,13,21,3,56,1.5,7,0,1,4,11,0,2,90,8.9,840,13:33,26,191,5,10,33.3,smithco02
313,Jordan Staal,35,CAR,C,61,8,15,23,-11,36,1.2,8,0,0,2,12,1,2,98,8.2,956,15:40,29,115,619,443,58.3,staaljo01
314,Tomáš Tatar,33,TOT,LW,58,8,13,21,11,16,2.0,8,0,0,2,12,1,0,61,13.1,727,12:32,19,37,4,12,25.0,tatarto01
315,Rasmus Andersson,27,CGY,D,57,7,25,32,3,41,5.0,6,0,1,3,19,6,0,123,5.7,1362,23:53,133,33,0,0,,anderra01
316,Casey Cizikas,32,NYI,C,49,7,8,15,-2,20,0.9,6,0,1,1,8,0,0,52,13.5,655,13:23,51,100,279,245,53.2,cizikca01
317,Paul Cotter,24,VEG,C,61,7,15,22,-10,39,1.1,5,2,0,0,13,2,0,87,8.0,793,13:00,22,191,18,22,45.0,cottepa01
318,Brenden Dillon,33,WPG,D,57,7,9,16,16,81,4.2,7,0,0,2,9,0,0,56,12.5,1052,18:27,76,170,0,0,,dillobr01
319,Noah Dobson,24,NYI,D,61,7,56,63,19,26,9.1,6,1,0,2,33,22,1,140,5.0,1552,25:26,145,69,0,0,,dobsono01
320,Max Domi,28,TOR,LW,62,7,25,32,0,75,2.3,6,1,0,1,24,1,0,98,7.1,823,13:17,19,47,209,202,50.9,domima01
321,Ryan Donato,27,CHI,C,59,7,11,18,-19,17,0.8,7,0,0,0,10,1,0,113,6.2,842,14:16,19,71,84,102,45.2,donatry01
322,Pavel Dorofeyev,23,VEG,LW,29,7,7,14,5,4,1.6,7,0,0,0,7,0,0,63,11.1,389,13:26,16,11,2,2,50.0,dorofpa01
323,Pierre Engvall,27,NYI,LW,55,7,12,19,3,16,1.2,6,1,0,1,9,3,0,96,7.3,845,15:22,16,18,16,18,47.1,engvapi01
324,Zemgus Girgensons,30,BUF,C,45,7,2,9,1,15,0.8,7,0,0,3,2,0,0,55,12.7,528,11:44,23,97,53,51,51.0,girgeze01
325,Miro Heiskanen,24,DAL,D,53,7,35,42,3,22,5.5,5,2,0,1,22,13,0,120,5.8,1317,24:51,71,41,0,0,,heiskmi01
326,Kaapo Kakko,22,NYR,RW,41,7,4,11,4,10,1.0,7,0,0,2,4,0,0,56,12.5,552,13:27,12,15,5,2,71.4,kakkoka01
327,Kris Letang,36,PIT,D,60,7,30,37,12,54,6.7,7,0,0,2,26,3,1,124,5.6,1481,24:41,99,103,0,0,,letankr01
328,Trevor Lewis,37,LAK,C,61,7,6,13,3,18,1.1,6,0,1,2,4,1,1,102,6.9,683,11:12,41,61,96,141,40.5,lewistr01
329,Jacob Middleton,28,MIN,D,62,7,13,20,-12,70,2.6,7,0,0,1,12,0,1,69,10.1,1236,19:56,130,127,0,0,,middlja01
330,KAndre Miller,24,NYR,D,60,7,17,24,7,30,4.9,7,0,0,3,15,1,1,73,9.6,1307,21:47,92,113,0,0,,milleka01
331,Ryan Poehling,25,PHI,C,58,7,13,20,-6,6,1.2,4,0,3,1,12,0,1,77,9.1,832,14:21,75,45,318,338,48.5,poehlry01
332,Morgan Rielly,29,TOR,D,57,7,39,46,-2,23,5.7,6,1,0,0,24,15,0,151,4.6,1374,24:06,107,76,0,0,,riellmo01
333,Jake Sanderson,21,OTT,D,57,7,20,27,7,19,4.4,5,2,0,2,15,5,0,120,5.8,1303,22:52,105,36,0,0,,sandeja01
334,Moritz Seider,22,DET,D,62,7,25,32,-4,42,4.4,4,3,0,0,11,13,1,99,7.1,1376,22:12,154,138,0,0,,seidemo01
335,Kiefer Sherwood,28,NSH,RW,49,7,9,16,12,24,1.7,7,0,0,1,9,0,0,73,9.6,585,11:57,17,167,10,15,40.0,sherwki01
336,Craig Smith,34,DAL,C,59,7,5,12,-1,25,0.7,7,0,0,1,5,0,0,88,8.0,600,10:10,24,37,1,3,25.0,smithcr01
337,Sam Steel,25,DAL,C,59,7,12,19,0,25,1.1,5,0,2,1,11,0,1,63,11.1,780,13:14,26,39,82,91,47.4,steelsa01
338,Philip Tomasino,22,NSH,C,41,7,13,20,-6,25,1.5,7,0,0,2,9,4,0,62,11.3,516,12:34,18,13,3,16,15.8,tomasph01
339,Kailer Yamamoto,25,SEA,RW,50,7,6,13,-6,16,0.9,5,2,0,2,3,3,0,49,14.3,594,11:53,17,22,23,43,34.8,yamamka01
340,Nicolas Aubé-Kubel,27,WSH,RW,45,6,10,16,7,23,1.5,6,0,0,0,10,0,0,44,13.6,552,12:16,21,98,6,11,35.3,aubekni01
341,Alex Barré-Boulet,26,TBL,F,36,6,3,9,-9,10,0.5,4,2,0,0,3,0,0,46,13.0,403,11:11,8,26,14,14,50.0,barreal01
342,Justin Barron,22,MTL,D,41,6,6,12,-4,16,2.0,5,1,0,1,6,0,0,51,11.8,770,18:47,51,52,0,0,,barroju01
343,Emil Bemström,24,TOT,C,38,6,7,13,-5,12,0.9,2,4,0,0,6,1,0,62,9.7,479,12:37,25,31,6,8,42.9,bemstem01
344,Zach Benson,18,BUF,LW,52,6,12,18,-5,28,1.0,6,0,0,1,12,0,0,72,8.3,757,14:33,24,23,5,10,33.3,bensoza01
345,Jonas Brodin,30,MIN,D,44,6,14,20,13,12,4.2,6,0,0,1,13,1,0,87,6.9,1041,23:40,107,15,0,0,,brodijo01
346,Thomas Chabot,27,OTT,D,38,6,16,22,-4,18,2.9,5,1,0,0,11,5,0,87,6.9,912,24:00,75,31,0,0,,chaboth01
347,Andrew Cogliano,36,COL,LW,57,6,12,18,11,16,1.6,5,0,1,0,9,0,3,47,12.8,624,10:57,32,21,48,89,35.0,coglian01
